job_id,total_batches,total_epochs,time_per_batch,batches_processed,potential_throughput (batches/sec),actual_throughput (batches/sec),potential_throughput (samples/sec),actual_throughput (samples/sec),potential_time (s),actual_time (s),total_delay
0,20000,1,0.107508104,20000,9.301624368708055,1.9718480461017749,1190.607919194631,252.39654990102719,2150.16208,10142.769388107161,3229.4998000048863
1,20000,1,0.339788711,20000,2.9430053666497473,1.9718028896405988,376.70468693116766,252.39076987399665,6795.77422,10143.001668714161,3228.88765999978
2,20000,1,0.089724519,20000,11.145225531941833,1.971851503401007,1426.5888680885546,252.39699243532888,1794.49038,10142.751604522162,3229.171500004816
3,20000,1,0.507133094,20000,1.971868946892273,1.9717703583737394,252.39922520221094,252.38660587183864,10142.66188,10143.169013097162,0.0
